transaction UUID,Driver UUID,Driver first name,Driver surname,Trip UUID,Description,Organisation name,Org alias,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Other fees:Platform fee,Paid to you:Trip balance:Refunds:IGST Support services,Paid to you:Trip balance:Expenses:IGST Support services,Paid to you:Your earnings:Tip,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Reservation Fee,Paid to you:Your earnings:Fare:Outskirt Surcharge,Paid to you:Trip balance:Expenses:Driver subscription charge
TXN_3DED8AB3,DRIVER_9ED6169B,ANON,DRIVER,TRIP_D6BDE503,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:40:10,355.55,355.55,0.0,355.55,0,342.21,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_8810F0CB,DRIVER_9ED6169B,ANON,DRIVER,TRIP_D6BDE503,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:40:13,-0.36,-0.36,0.0,0.0,0,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_E4F098DC,DRIVER_E3D60CB0,ANON,DRIVER,TRIP_8D0F36D6,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:47:19,-7.14,142.85,-149.99,142.85,0,131.43,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_D588ECDC,DRIVER_E3D60CB0,ANON,DRIVER,TRIP_8D0F36D6,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:47:22,-0.13,-0.13,0.0,0.0,0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_BD041275,DRIVER_194654C1,ANON,DRIVER,TRIP_EF371C98,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:52:36,17.2,297.18,-279.98,297.18,0,283.84,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_BE5FB8E1,DRIVER_194654C1,ANON,DRIVER,TRIP_EF371C98,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:52:39,-0.28,-0.28,0.0,0.0,0,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_7367B13E,DRIVER_84716652,ANON,DRIVER,TRIP_DB408352,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:00:44,60.2,60.2,0.0,60.2,0,0.0,0.0,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0B8390CC,DRIVER_84716652,ANON,DRIVER,TRIP_DB408352,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:00:47,-0.06,-0.06,0.0,0.0,0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_BBF4937F,DRIVER_194654C1,ANON,DRIVER,TRIP_3F348CC3,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:07:15,59.81,59.81,0.0,59.81,0,0.0,0.0,0.0,59.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_C751A4DB,DRIVER_194654C1,ANON,DRIVER,TRIP_3F348CC3,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:07:17,-0.06,-0.06,0.0,0.0,0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
